ID,name_seq,collection_time,index,is.node,pmsmdemdef,STN,AMRany,ESBLR,CiprofloxacinR,AzithromycinR,Genotype,Genotype_simplified,Phylowave_group
120,SRR10605725,2019.90137,0.156707632,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
121,SRR10424219,2019.830137,0.159519031,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
122,SRR15361795,2020.005464,0.149685014,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
123,SRR10598975,2019.90411,0.155524493,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
124,SRR10599991,2019.906849,0.156145852,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
125,SRR8405054,2018.978082,0.172648349,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
126,SRR9259535,2019.350685,0.162150169,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
127,SRR8704596,2019.158904,0.16747033,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
128,SRR8381976,2018.967123,0.172889026,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
129,SRR8656993,2019.136986,0.168114801,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
130,SRR8293755,2018.906849,0.173171926,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
131,SRR8558512,2019.082192,0.169570811,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
132,SRR8508342,2019.038356,0.170664661,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
133,SRR8281086,2018.90137,0.173140481,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
134,SRR8508336,2019.038356,0.170627643,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
135,SRR8464949,2019.024658,0.170940519,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
136,SRR8771434,2019.191781,0.165922511,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
137,SRR8558586,2019.082192,0.169472223,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
138,SRR9260991,2019.408219,0.164071416,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
139,SRR9260354,2019.40274,0.164072654,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
140,SRR10005831,2019.60274,0.156246536,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
141,SRR9007502,2019.290411,0.164038598,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
142,SRR9961604,2019.580822,0.157901583,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
143,SRR10228149,2019.728767,0.157815947,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
144,SRR10120191,2019.671233,0.156332368,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
145,SRR10386568,2019.810959,0.160535074,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
146,SRR10271367,2019.756164,0.158874085,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
147,SRR10036688,2019.619178,0.15639357,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
148,SRR9620975,2019.479452,0.161972385,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
149,SRR9335419,2019.443836,0.16302815,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
150,SRR9899922,2019.558904,0.158458764,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
151,SRR8820015,2019.213699,0.165341543,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
152,SRR10741850,2019.939726,0.155904185,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
153,SRR9678250,2019.49863,0.159911174,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
154,SRR10219454,2019.709589,0.156102787,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
155,SRR10519456,2019.852055,0.156736022,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
156,SRR9259160,2019.421918,0.162112684,no,Travel,Travel,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
157,SRR7839304,2018.624658,0.168992829,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
158,SRR8194837,2018.846575,0.170113911,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
159,SRR8832684,2019.216438,0.163347686,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
160,SRR7850028,2018.663014,0.168617992,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
161,SRR10559562,2019.879452,0.153763647,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
162,SRR7456561,2018.465753,0.16963154,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
163,SRR8268971,2018.873973,0.170675879,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
164,SRR8304474,2018.912329,0.171585589,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
165,SRR8293492,2018.906849,0.171092252,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
166,SRR8307273,2018.920548,0.171568317,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
167,SRR8166012,2018.810959,0.169901785,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
168,SRR7866114,2018.676712,0.167813949,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
169,SRR7850205,2018.632877,0.168177083,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
170,SRR9083747,2019.347945,0.160116728,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
171,SRR9259392,2019.372603,0.160944559,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
172,SRR9095166,2019.361644,0.160835424,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
173,SRR8979719,2019.273973,0.160428097,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
174,SRR8380563,2018.947945,0.17025905,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
175,SRR10566687,2019.887671,0.153141573,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
176,SRR8457029,2019.021918,0.168535561,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
177,SRR8558526,2019.084932,0.16689683,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
178,SRR10962112,2020.038251,0.144104018,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
179,SRR10247130,2019.745205,0.155535881,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
180,SRR10962107,2020.040984,0.142236282,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
181,SRR10380818,2019.794521,0.155628436,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
182,SRR7826933,2018.657534,0.167373583,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
183,SRR7842119,2018.594521,0.166521915,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
184,SRR7866070,2018.690411,0.166316527,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
185,SRR8201565,2018.849315,0.167974577,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
186,SRR8086720,2018.750685,0.167518166,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
187,SRR8568231,2019.082192,0.165535516,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
188,SRR7522850,2018.50411,0.167303613,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
189,SRR7401717,2018.408219,0.16716432,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
190,SRR7495423,2018.484932,0.167372546,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
191,SRR8097511,2018.769863,0.167758228,no,pMSM,STN,1,0,1,1,NA,NA,1
192,SRR7522842,2018.50411,0.167291941,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
193,SRR8440737,2019.005479,0.167094277,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
194,SRR7892533,2018.69589,0.164399694,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
195,SRR9874811,2019.545205,0.151078822,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
196,SRR9260900,2019.405479,0.156554352,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
197,SRR9720384,2019.520548,0.150773819,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
198,SRR8268968,2018.887671,0.166794818,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
199,SRR8382246,2018.964384,0.166307705,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
200,SRR7975988,2018.731507,0.164775602,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
201,SRR7827993,2018.671233,0.163993344,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
202,SRR7850055,2018.59726,0.16395046,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
203,SRR7956009,2018.717808,0.164771567,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
204,SRR8086712,2018.772603,0.165902024,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
205,SRR8086737,2018.775342,0.165912583,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
206,SRR8182581,2018.830137,0.165442118,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
207,SRR7850161,2018.624658,0.164645217,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
208,SRR7892121,2018.69863,0.1638611,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
209,SRR9836903,2019.534247,0.15039474,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
210,SRR10403899,2019.824658,0.150328214,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
211,SRR7890114,2018.693151,0.162013461,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
212,SRR7474132,2018.479452,0.162000117,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
213,SRR7456560,2018.460274,0.15907653,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
214,SRR7842144,2018.523288,0.156520211,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
215,SRR7943920,2018.712329,0.155014268,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
216,SRR3530519,2015.958904,0.108112247,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
217,SRR3530540,2015.89589,0.107572176,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
218,SRR3530639,2015.838356,0.107627507,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
219,SRR3530542,2015.413699,0.108299661,no,pMSM,STN,1,0,1,0,3.6.1.1.2,3.6.1.1.2,1
220,SRR4787904,2015.079452,0.108481361,no,pMSM,STN,1,0,1,0,3.6.1.1.2,3.6.1.1.2,1
221,SRR3531879,2015.167123,0.110153254,no,non-pMSM,STN,1,0,1,0,3.6.1.1.2,3.6.1.1.2,1
222,SRR7230678,2016.849727,0.125444533,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
223,SRR7187948,2018.210959,0.146998242,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
224,SRR7401640,2018.389041,0.146961912,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
225,SRR7291548,2017.838356,0.142313416,no,non-pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
226,SRR7286408,2017.986301,0.143220078,no,pMSM,STN,1,0,1,1,3.6.1.1.2,3.6.1.1.2,1
