"","Accession","Group","AMRany","ESBLR","CiprofloxacinR","AzithromycinR","Genotype","STNGroups"
"37","SRR3531696","non-pMSM",0,0,0,0,"3.7.10","non-STN"
"38","SRR3530810","non-pMSM",0,0,0,0,"3.7.17","non-STN"
"39","SRR3530431","Travel",1,0,1,0,"3.6.1.1","Travel"
"40","SRR4897119","Travel",1,0,1,0,"3.6.1.1","Travel"
"41","SRR3530434","non-pMSM",1,1,1,0,"3.6.2","non-STN"
"42","SRR3530149","non-pMSM",0,0,0,0,"2.6","non-STN"
"43","SRR4897469","non-pMSM",0,0,0,0,"3.4.1","non-STN"
"44","SRR3530637","non-pMSM",0,0,0,0,"3.7","non-STN"
"45","SRR3531916","Travel",0,0,0,0,"3.7.11","Travel"
"46","SRR3530533","pMSM",0,0,0,0,"3.7.11","non-STN"
"47","SRR3530470","non-pMSM",0,0,0,0,"3.7.11","non-STN"
"48","SRR3530453","non-pMSM",0,0,0,0,"3.7.10","non-STN"
"49","SRR3530621","Travel",0,0,0,0,"3.4.1","Travel"
"50","SRR3531867","non-pMSM",1,1,1,0,"3.6.2","non-STN"
"51","SRR3530546","non-pMSM",0,0,0,0,"3.7.16","non-STN"
"52","SRR4787354","pMSM",0,0,0,0,"3.6.3","non-STN"
"53","SRR3530635","non-pMSM",0,0,0,0,"3.7.30.4","non-STN"
"54","SRR5006356","non-pMSM",1,1,1,0,"3.6.2","non-STN"
"55","SRR4786055","Travel",1,0,1,0,"3.6.1.1","Travel"
"56","SRR4897472","Travel",1,0,1,0,"3.6.1.1","Travel"
"57","SRR5005537","non-pMSM",1,1,0,0,"3.7.30.1","non-STN"
"58","SRR3531920","Travel",1,1,0,0,"3.7.25","Travel"
"59","SRR3531923","non-pMSM",0,0,0,0,NA,"non-STN"
"60","SRR3530561","Travel",1,0,1,0,"3.6.1.1","Travel"
"61","SRR3530427","non-pMSM",0,0,0,0,"3.6.3","non-STN"
"62","SRR3530337","pMSM",1,0,0,1,"3.7.25","STN"
"63","SRR3530414","Travel",1,0,1,0,"3.6.1.1","Travel"
"64","SRR5018274","non-pMSM",1,0,1,0,"3.7.18","non-STN"
"65","SRR4788259","pMSM",1,0,1,0,"3.6.1.1","STN"
"66","SRR4897644","pMSM",1,0,0,1,"3.7.25","STN"
"67","SRR3531780","Travel",0,0,0,0,"3.7.11","Travel"
"68","SRR3531898","Travel",0,0,0,0,"3.7.18","Travel"
"69","SRR4897217","non-pMSM",0,0,0,0,"3.6.3","non-STN"
"70","SRR3530439","Travel",0,0,0,0,"2.7.4","Travel"
"71","SRR3530428","non-pMSM",0,0,0,0,"3.4.1","non-STN"
"72","SRR3530514","pMSM",1,0,0,1,"3.7.18","non-STN"
"73","SRR3530432","non-pMSM",0,0,0,0,"3.4.1","non-STN"
"74","SRR3531868","Travel",1,0,1,0,"3.6.1.1","Travel"
"75","SRR4788147","Travel",0,0,0,0,"3.7.21","Travel"
"76","SRR5024531","pMSM",1,0,0,1,"3.7.25","STN"
"77","SRR3531074","pMSM",1,0,0,1,"3.7.25","STN"
"78","SRR3531234","Travel",0,0,0,0,"3.7.7","Travel"
"79","SRR4788296","non-pMSM",1,0,1,0,"3.6.1.1.1","non-STN"
"80","SRR3530625","Travel",1,0,1,0,"3.6.1.1","Travel"
"81","SRR3531876","non-pMSM",1,1,1,0,"3.7.30.1","non-STN"
"82","SRR3530619","pMSM",1,0,0,1,"3.7.25","STN"
"83","SRR3531863","non-pMSM",1,0,1,0,"3.6.1.1.3","non-STN"
"84","SRR3530608","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"85","SRR4897201","pMSM",1,0,1,0,"3.6.1.1.3.1","STN"
"86","SRR3530436","pMSM",1,0,1,0,"3.7.18","non-STN"
"87","SRR4897574","non-pMSM",1,0,0,1,"3.7.21","non-STN"
"88","SRR4787152","pMSM",0,0,0,0,"3.7.30.4","non-STN"
"89","SRR3530568","pMSM",1,0,1,0,"3.6.1.1","STN"
"90","SRR4787426","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"91","SRR3531453","Travel",0,0,0,0,"3.6.3","Travel"
"92","SRR3530622","Travel",0,0,0,0,"3.6.3","Travel"
"93","SRR3530394","Travel",0,0,0,0,"3.7.18","Travel"
"94","SRR3530449","non-pMSM",0,0,0,0,"3.7.30.4","non-STN"
"95","SRR3530613","non-pMSM",0,0,0,0,"3.7.10","non-STN"
"96","SRR3530614","pMSM",1,0,1,0,"3.6.1.1","STN"
"97","SRR3530417","non-pMSM",0,0,0,0,"3.7.16","non-STN"
"98","SRR3530396","non-pMSM",0,0,0,0,"3.7.30.4","non-STN"
"99","SRR3530538","Travel",1,0,1,0,"3.6.1.1","Travel"
"100","SRR5024327","non-pMSM",0,0,0,0,"3.6.3","non-STN"
"101","SRR5018376","Travel",0,0,0,0,"3.4.1","Travel"
"102","SRR3530590","Travel",1,0,1,0,"3.6.1.1","Travel"
"103","SRR3530423","Travel",0,0,0,0,"3.7.25","Travel"
"104","SRR3530442","Travel",0,0,0,0,"3.7.25","Travel"
"105","SRR3530338","non-pMSM",0,0,0,0,"3.6.1","non-STN"
"106","SRR3531884","non-pMSM",0,0,0,0,"3.7.30.4","non-STN"
"107","SRR3531907","Travel",0,0,0,0,"3.7","Travel"
"108","SRR5006086","pMSM",0,0,0,0,"3.7.21","non-STN"
"109","SRR4787262","Travel",0,0,0,0,"3.7.21","Travel"
"110","SRR4897672","non-pMSM",0,0,0,0,"3.7.10","non-STN"
"111","SRR5017462","pMSM",0,0,0,0,"3.7.25","STN"
"112","SRR3531233","non-pMSM",0,0,0,0,"3.7.18","non-STN"
"113","SRR4787145","Travel",1,0,1,0,"3.6.1.1","Travel"
"114","SRR3531421","Travel",0,0,0,0,"3.4.1","Travel"
"115","SRR3530430","non-pMSM",0,0,0,0,"3.4.1","non-STN"
"116","SRR3531075","non-pMSM",0,0,0,0,"3.6.3","non-STN"
"117","SRR3530521","non-pMSM",0,0,0,0,"3.7.30.4","non-STN"
"118","SRR5005260","Travel",1,0,1,0,"3.6.1.1","Travel"
"119","SRR3530602","pMSM",1,0,1,0,"3.4.1","non-STN"
"120","SRR3531917","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"121","SRR4787188","pMSM",0,0,0,0,"3.6.3","non-STN"
"122","SRR4787796","Travel",1,0,1,0,"3.6.1.1","Travel"
"123","SRR3530410","pMSM",1,0,0,1,"3.7.18","non-STN"
"124","SRR3531848","non-pMSM",0,0,0,0,"3.7.30.4","non-STN"
"125","SRR3531885","Travel",1,0,1,0,"3.6.1.1","Travel"
"126","SRR5005522","pMSM",1,0,0,1,"3.7.25","STN"
"127","SRR4787341","Travel",1,0,1,0,"3.6.1.1","Travel"
"128","SRR3530405","non-pMSM",0,0,0,0,"3.7.18","non-STN"
"129","SRR3530559","non-pMSM",0,0,0,0,"3.4.1","non-STN"
"130","SRR3530646","Travel",1,1,1,0,"3.6.3","Travel"
"131","SRR3531855","Travel",1,1,0,0,"3.7.18","Travel"
"132","SRR4788167","non-pMSM",0,0,0,0,"3.7.30.4","non-STN"
"133","SRR4897626","Travel",0,0,0,0,"3.7.21","Travel"
"134","SRR4787081","non-pMSM",0,0,0,0,"3.6.4","non-STN"
"135","SRR3531877","non-pMSM",0,0,0,0,"3.6.1","non-STN"
"136","SRR4786193","Travel",1,0,1,0,"3.6.1.1","Travel"
"137","SRR3531856","non-pMSM",0,0,0,0,"3.7.30.4","non-STN"
"138","SRR4788154","Travel",0,0,0,0,"3.7.3","Travel"
"139","SRR4787736","Travel",1,0,1,0,"3.6.1.1","Travel"
"140","SRR3531880","non-pMSM",0,0,0,0,"3.7.18","non-STN"
"141","SRR3531890","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"142","SRR3530607","Travel",0,0,0,0,"3.7.3","Travel"
"143","SRR3530315","pMSM",0,0,0,0,"3.7.16","non-STN"
"144","SRR4786540","Travel",0,0,0,0,"2.4.2","Travel"
"145","SRR4788282","non-pMSM",0,0,0,0,"3.6.3","non-STN"
"146","SRR3530562","Travel",0,0,0,0,"3.7.18","Travel"
"147","SRR3530634","non-pMSM",1,1,1,0,"3.6.2","non-STN"
"148","SRR3530642","Travel",0,0,0,0,"3.7.11","Travel"
"149","SRR3531508","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"150","SRR3530859","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"151","SRR3530399","Travel",0,0,0,0,"3.7","Travel"
"152","SRR3530575","Travel",1,0,1,0,"3.6.1.1","Travel"
"153","SRR3531905","Travel",1,0,1,1,"3.6.1.1.3","Travel"
"154","SRR4787810","Travel",1,1,1,0,"3.6.3","Travel"
"155","SRR3530421","non-pMSM",0,0,0,0,"2.11.5","non-STN"
"156","SRR4787230","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"157","SRR5017524","Travel",1,1,1,1,"3.6.1.1","Travel"
"158","SRR4897055","Travel",0,0,0,0,"3.6.3","Travel"
"159","SRR5006243","non-pMSM",0,0,0,0,"3.7.3","non-STN"
"160","SRR5024223","Travel",0,0,0,0,"2.7.1","Travel"
"161","SRR4897399","non-pMSM",0,0,0,0,"3.7","non-STN"
"162","SRR3530632","non-pMSM",0,0,0,0,"3.6.3","non-STN"
"163","SRR3530395","Travel",1,0,1,0,"3.6.1.1","Travel"
"164","SRR4897747","pMSM",0,0,0,0,"3.7.29.1.2","STN"
"165","SRR5006415","Travel",0,0,0,0,"3.7.9","Travel"
"166","SRR4788245","Travel",1,1,1,1,"3.6.3","Travel"
"167","SRR5006338","Travel",1,1,1,0,"3.6.3","Travel"
"168","SRR4787398","Travel",1,1,1,0,"3.6.3","Travel"
"169","SRR4897449","Travel",1,0,1,0,"3.6.1.1","Travel"
"170","SRR4897306","pMSM",1,0,1,0,"3.6.1.1","non-STN"
"171","SRR5017302","non-pMSM",0,0,0,0,"3.7.18","non-STN"
"172","SRR4897756","Travel",0,0,0,0,"3.6.3","Travel"
"173","SRR5018377","Travel",0,0,0,0,"3.6.3","Travel"
"174","SRR4787758","pMSM",0,0,0,0,"3.6.1","non-STN"
"175","SRR4787156","non-pMSM",0,0,0,0,"3.4.1","non-STN"
"176","SRR4787385","pMSM",1,0,1,0,"3.7.18","non-STN"
"177","SRR5024291","non-pMSM",0,0,0,0,"3.7.16","non-STN"
"178","SRR4897238","pMSM",0,0,0,0,"3.7.29.1.2","STN"
"179","SRR4897294","non-pMSM",1,1,1,0,"3.6.3","non-STN"
"180","SRR5017861","Travel",0,0,0,0,"3.7.12","Travel"
"181","SRR4897759","Travel",1,1,1,0,"3.6.3","Travel"
"182","SRR4788150","pMSM",1,1,1,0,"3.7","non-STN"
"183","SRR5023834","Travel",1,0,1,0,"3.6.1.1","Travel"
"184","SRR4787871","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"185","SRR4897684","Travel",1,1,1,0,"3.6.3","Travel"
"186","SRR4787270","Travel",1,1,1,0,"3.6.3","Travel"
"187","SRR4787192","Travel",1,1,1,0,"3.6.3","Travel"
"188","SRR5017537","non-pMSM",0,0,0,0,"3.7.16","non-STN"
"189","SRR5006385","pMSM",1,0,0,1,"3.7.25","STN"
"190","SRR5023897","non-pMSM",0,0,0,0,"3.6.3","non-STN"
"191","SRR5005282","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"192","SRR7251031","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"193","SRR4897770","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"194","SRR4897353","Travel",0,0,0,0,"3.7.16","Travel"
"195","SRR5005272","Travel",1,0,1,0,"3.6.1.1","Travel"
"196","SRR4897357","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"197","SRR4897267","Travel",1,0,1,0,"3.6.1.1","Travel"
"198","SRR4897113","Travel",0,0,0,0,"3.4.1","Travel"
"199","SRR7187844","Travel",0,0,0,0,"3.7.18","Travel"
"200","SRR4897544","Travel",0,0,0,0,"3.6.3","Travel"
"201","SRR5023928","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"202","SRR7249724","Travel",1,0,1,0,"3.6.1.1","Travel"
"203","SRR7186960","non-pMSM",1,0,1,0,"3.6.1.1.1","non-STN"
"204","SRR5024244","pMSM",0,0,0,0,"3.7.29.1.2","STN"
"205","SRR4788271","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"206","SRR7187049","non-pMSM",0,0,0,0,"3.7.30.4","non-STN"
"207","SRR4897529","pMSM",0,0,0,0,"3.7.4","STN"
"208","SRR7266825","Travel",0,0,0,0,"3.6.1","Travel"
"209","SRR7291511","pMSM",1,0,0,1,"3.7.25","STN"
"210","SRR7251469","pMSM",0,0,0,0,"3.7.29.1.2","STN"
"211","SRR4897798","pMSM",0,0,0,0,"3.7.18","non-STN"
"212","SRR4787217","non-pMSM",1,0,1,0,"3.6.1.1.1","non-STN"
"213","SRR4897817","non-pMSM",1,0,1,0,"3.6.1.1.1","non-STN"
"214","SRR4897766","Travel",0,0,0,0,"3.4.1","Travel"
"215","SRR4787194","pMSM",1,0,1,0,"3.6.1.1","non-STN"
"216","SRR4786539","pMSM",1,0,0,1,"3.7.25","STN"
"217","SRR4787742","Travel",0,0,0,0,"3.7.7","Travel"
"218","SRR4788283","non-pMSM",0,0,0,0,"3.6.3","non-STN"
"219","SRR5006096","non-pMSM",0,0,0,0,"3.7.17","non-STN"
"220","SRR7187862","pMSM",0,0,0,0,"3.6.4","non-STN"
"221","SRR5005331","non-pMSM",1,1,1,0,"3.6.1.1","non-STN"
"222","SRR6467514","non-pMSM",0,0,0,0,"3.7.29.1.2","STN"
"223","SRR4788350","Travel",0,0,0,0,"3.7.18","Travel"
"224","SRR5005563","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"225","SRR5006420","non-pMSM",0,0,0,0,"3.6.3","non-STN"
"226","SRR5024070","Travel",1,0,1,0,"3.6.1.1","Travel"
"227","SRR5024231","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"228","SRR4897131","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"229","SRR7221208","pMSM",0,0,0,0,"3.7.29.1.2","STN"
"230","SRR4787272","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"231","SRR4788374","non-pMSM",0,0,0,0,"3.6.1","non-STN"
"232","SRR4897492","pMSM",0,0,0,0,"2.11.4","STN"
"233","SRR5006384","pMSM",1,0,1,0,"3.6.1.1","non-STN"
"234","SRR5006371","pMSM",1,0,0,1,"3.7.25","STN"
"235","SRR7358307","Travel",1,0,1,0,"3.6.1.1","Travel"
"236","SRR7244289","non-pMSM",0,0,0,0,"3.7.29.1.4","STN"
"237","SRR7265859","Travel",1,1,1,0,"3.7.25","Travel"
"238","SRR3742259","non-pMSM",0,0,0,0,"3.7.3","non-STN"
"239","SRR3742249","non-pMSM",0,0,0,0,"3.7.10","non-STN"
"240","SRR3742265","Travel",0,0,0,0,"3.6.4","Travel"
"241","SRR3742271","pMSM",1,0,1,0,"3.6.1.1","non-STN"
"242","SRR3742251","pMSM",0,0,0,0,"3.7.29.1.2","STN"
"243","SRR3742211","Travel",0,0,0,0,"3.7.18","Travel"
"244","SRR3742261","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"245","SRR4786997","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"246","SRR4787768","Travel",0,0,0,0,"1.5","Travel"
"247","SRR4897235","Travel",0,0,0,0,"3.6.4","Travel"
"248","SRR4787874","non-pMSM",1,1,1,0,"3.6.3","non-STN"
"249","SRR4897715","non-pMSM",1,0,1,0,"3.6.1.1.1","non-STN"
"250","SRR5024527","non-pMSM",1,0,1,0,"3.7.18","non-STN"
"251","SRR7209059","pMSM",0,0,0,0,"3.7.29.1.2","STN"
"252","SRR5005421","non-pMSM",0,0,0,0,"3.7","non-STN"
"253","SRR4786271","pMSM",1,0,1,0,"3.6.1.1.3.1","STN"
"254","SRR4787266","pMSM",0,0,0,0,"3.7.29.1.2","STN"
"255","SRR4788369","non-pMSM",0,0,0,0,"3.6.1","non-STN"
"256","SRR5024080","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"257","SRR5005435","non-pMSM",0,0,0,0,"3.6.1","non-STN"
"258","SRR7186963","Travel",1,1,0,0,"3.7.25","Travel"
"259","SRR7204418","non-pMSM",0,0,0,0,"3.7.29.1.4","STN"
"260","SRR5006235","Travel",1,1,1,0,"3.6.1.1.1","Travel"
"261","SRR4897579","Travel",0,0,0,0,"3.6.4","Travel"
"262","SRR4897713","non-pMSM",0,0,0,0,"3.7","non-STN"
"263","SRR4787764","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"264","SRR4788247","Travel",0,0,0,0,"3.6.3","Travel"
"265","SRR5005344","non-pMSM",0,0,0,0,"3.7.30.4","non-STN"
"266","SRR4786133","non-pMSM",0,0,0,0,"3.6.2","non-STN"
"267","SRR4897047","non-pMSM",0,0,0,0,"3.6.3","non-STN"
"268","SRR5005508","non-pMSM",0,0,0,0,"3.7.30.4","non-STN"
"269","SRR4788102","pMSM",1,0,1,0,"3.6.1.1","non-STN"
"270","SRR4788223","pMSM",1,0,0,1,"3.7.25","STN"
"271","SRR7286453","Travel",0,0,0,0,"3.7.25","Travel"
"272","SRR4897074","Travel",1,1,1,0,"3.7","Travel"
"273","SRR4897118","pMSM",1,0,1,0,"3.6.1.1.2","STN"
"274","SRR5006358","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"275","SRR4787778","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"276","SRR4897525","Travel",1,1,1,0,"3.6.3","Travel"
"277","SRR4897664","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"278","SRR5005517","non-pMSM",1,1,1,0,"3.6.1.1","non-STN"
"279","SRR4787193","Travel",0,0,0,0,"3.6.3","Travel"
"280","SRR4786926","Travel",0,0,0,0,"3.6.2","Travel"
"281","SRR4788088","pMSM",1,0,0,1,"3.7.25","STN"
"282","SRR7274804","Travel",1,0,1,0,"3.6.1.1","Travel"
"283","SRR4788073","pMSM",0,0,0,0,"3.7.25","non-STN"
"284","SRR4897167","Travel",1,0,1,0,"3.6.1.1","Travel"
"285","SRR4897185","Travel",1,1,1,0,"3.6.1.1.1","Travel"
"286","SRR6467515","non-pMSM",1,0,1,1,"3.6.1.1.2","STN"
"287","SRR4897545","Travel",0,0,0,0,"3.6.2","Travel"
"288","SRR4787413","pMSM",0,0,0,0,"3.7.21","non-STN"
"289","SRR5005423","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"290","SRR4787316","non-pMSM",0,0,0,0,"3.7.7","non-STN"
"291","SRR4897787","Travel",0,0,0,0,"3.7.18","Travel"
"292","SRR4788157","pMSM",0,0,0,0,"2.10.1","non-STN"
"293","SRR4897321","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"294","SRR4787852","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"295","SRR4788253","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"296","SRR4897181","pMSM",0,0,0,0,"3.4.1","STN"
"297","SRR4897179","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"298","SRR7208624","pMSM",0,0,0,0,"3.7.25","STN"
"299","SRR7367361","Travel",1,0,1,0,"3.6.1.1","Travel"
"300","SRR4788242","Travel",1,1,1,0,"3.6.1.1","Travel"
"301","SRR4897735","Travel",1,1,0,0,"3.7.25","Travel"
"302","SRR5006059","non-pMSM",0,0,0,0,"3.7.29.1.4.1","STN"
"303","SRR4788227","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"304","SRR7191648","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"305","SRR4787933","Travel",1,0,1,0,"3.7.18","Travel"
"306","SRR5023953","pMSM",0,0,0,0,"3.7.29.1.2","STN"
"307","SRR4897702","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"308","SRR7186953","pMSM",0,0,0,0,NA,"non-STN"
"309","SRR4787714","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"310","SRR7286677","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"311","SRR4787380","pMSM",0,0,0,0,"3.7.4","STN"
"312","SRR4897194","Travel",1,0,1,0,"3.6.1.1","Travel"
"313","SRR7204243","Travel",0,0,0,0,"2.5.1","Travel"
"314","SRR4786031","Travel",1,0,1,0,"3.6.1.1","Travel"
"315","SRR5006329","pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"316","SRR7291558","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"317","SRR5005538","Travel",1,0,1,1,"3.6.1.1","Travel"
"318","SRR4897613","pMSM",1,1,0,0,"3.7.25","non-STN"
"319","SRR4897738","non-pMSM",1,1,1,0,"3.6.3","non-STN"
"320","SRR7215957","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"321","SRR5006242","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"322","SRR4787080","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"323","SRR7291832","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"324","SRR4787741","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"325","SRR4897241","Travel",0,0,0,0,"3.6.3","Travel"
"326","SRR4787372","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"327","SRR4897826","pMSM",1,0,1,0,"3.6.1.1","non-STN"
"328","SRR7250985","pMSM",0,0,0,0,"3.7.29.1.2","STN"
"329","SRR5005495","Travel",0,0,0,0,"3.7.18","Travel"
"330","SRR5024446","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"331","SRR7251047","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"332","SRR7283769","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"333","SRR4787360","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"334","SRR4897651","pMSM",1,0,1,0,"3.6.1.1","non-STN"
"335","SRR4788159","non-pMSM",0,0,0,0,"3.7.25","STN"
"336","SRR5024495","pMSM",0,0,0,0,NA,"non-STN"
"337","SRR7244427","non-pMSM",0,0,0,0,NA,"non-STN"
"338","SRR5005556","pMSM",1,1,0,0,"3.7.25","non-STN"
"339","SRR5024286","Travel",0,0,0,0,"3.6.2","Travel"
"340","SRR4897305","Travel",0,0,0,0,"3.6.2","Travel"
"341","SRR4786784","Travel",0,0,0,0,"3.6.2","Travel"
"342","SRR4897831","Travel",0,0,0,0,"3.6.2","Travel"
"343","SRR7184370","Travel",0,0,0,0,"3.4.1","Travel"
"344","SRR4897527","pMSM",0,0,0,0,"3.4.1","STN"
"345","SRR5024409","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"346","SRR7257086","Travel",1,0,1,1,"3.6.1.1","Travel"
"347","SRR4897640","Travel",0,0,0,0,"3.7.18","Travel"
"348","SRR4787433","Travel",1,0,1,0,"3.6.1.1","Travel"
"349","SRR5005348","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"350","SRR7266827","non-pMSM",0,0,0,0,"3.7","non-STN"
"351","SRR7286594","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"352","SRR7221267","non-pMSM",1,1,1,0,"3.6.3","non-STN"
"353","SRR5006429","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"354","SRR7291011","Travel",0,0,0,0,"3.6.2","Travel"
"355","SRR4897615","Travel",1,0,1,0,"3.6.1.1","Travel"
"356","SRR4787387","non-pMSM",0,0,0,0,"3.6.4","non-STN"
"357","SRR4787267","pMSM",1,0,0,1,"3.7.29.1.2.1","STN"
"358","SRR4897456","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"359","SRR5024477","pMSM",0,0,0,0,"3.7.4","STN"
"360","SRR4897660","Travel",1,1,0,0,"3.6.4","Travel"
"361","SRR7274839","pMSM",1,0,0,1,"3.7.29.1.2","STN"
"362","SRR5024325","non-pMSM",0,0,0,0,"3.7","non-STN"
"363","SRR5006346","pMSM",0,0,0,0,"3.7.25","non-STN"
"364","SRR4788100","Travel",0,0,0,0,"3.7.10","Travel"
"365","SRR4897774","non-pMSM",0,0,0,0,"3.7.25","non-STN"
"366","SRR5006352","pMSM",0,0,0,0,"3.7.18","non-STN"
"367","SRR4897050","non-pMSM",1,1,0,0,"3.7.25","non-STN"
"368","SRR5024162","non-pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"369","SRR7285450","Travel",0,0,0,0,"3.6.3","Travel"
"370","SRR4897483","non-pMSM",1,0,1,0,"3.6.1.1","non-STN"
"371","SRR7186893","pMSM",1,0,1,1,"3.6.1.1.2","STN"
"372","SRR5005606","pMSM",0,0,0,0,"3.7.30.1","non-STN"
"373","SRR4788308","Travel",0,0,0,0,"3.7.8","Travel"
"374","SRR7204421","Travel",1,0,1,0,"3.6.1.1","Travel"
"375","SRR4897397","non-pMSM",0,0,0,0,"3.7.7","non-STN"
"376","SRR4897262","pMSM",0,0,0,0,"3.7.30.4.1","non-STN"
"377","SRR5005501","pMSM",0,0,0,0,"3.7.29.1.2","STN"
"378","SRR4787826","Travel",1,1,1,0,"3.6.3","Travel"
