"","Accession","Group","AMRany","ESBLR","CiprofloxacinR","AzithromycinR","Genotype"
"90","SRR4787426","pMSM",1,0,1,1,"3.6.1.1.2"
"91","SRR3531453","Travel",0,0,0,0,"3.6.3"
"92","SRR3530622","Travel",0,0,0,0,"3.6.3"
"93","SRR3530394","Travel",0,0,0,0,"3.7.18"
"94","SRR3530449","non-pMSM",0,0,0,0,"3.7.30.4"
"95","SRR3530613","non-pMSM",0,0,0,0,"3.7.10"
"96","SRR3530614","pMSM",1,0,1,0,"3.6.1.1"
"97","SRR3530417","non-pMSM",0,0,0,0,"3.7.16"
"98","SRR3530396","non-pMSM",0,0,0,0,"3.7.30.4"
"99","SRR3530538","Travel",1,0,1,0,"3.6.1.1"
"100","SRR5024327","non-pMSM",0,0,0,0,"3.6.3"
"101","SRR5018376","Travel",0,0,0,0,"3.4.1"
"102","SRR3530590","Travel",1,0,1,0,"3.6.1.1"
"103","SRR3530423","Travel",0,0,0,0,"3.7.25"
"104","SRR3530442","Travel",0,0,0,0,"3.7.25"
"105","SRR3530338","Travel",0,0,0,0,"3.6.1"
"106","SRR3531884","non-pMSM",0,0,0,0,"3.7.30.4"
"107","SRR3531907","Travel",0,0,0,0,"3.7"
"108","SRR5006086","Travel",0,0,0,0,"3.7.21"
"109","SRR4787262","Travel",0,0,0,0,"3.7.21"
"110","SRR4897672","non-pMSM",0,0,0,0,"3.7.10"
"111","SRR5017462","pMSM",0,0,0,0,"3.7.25"
"112","SRR3531233","non-pMSM",0,0,0,0,"3.7.18"
"113","SRR4787145","Travel",1,0,1,0,"3.6.1.1"
"114","SRR3531421","Travel",0,0,0,0,"3.4.1"
"115","SRR3530430","non-pMSM",0,0,0,0,"3.4.1"
"116","SRR3531075","non-pMSM",0,0,0,0,"3.6.3"
"117","SRR3530521","non-pMSM",0,0,0,0,"3.7.30.4"
"118","SRR5005260","Travel",1,0,1,0,"3.6.1.1"
"119","SRR3530602","pMSM",1,0,1,0,"3.4.1"
"120","SRR3531917","pMSM",1,0,1,1,"3.6.1.1.2"
"121","SRR4787188","pMSM",0,0,0,0,"3.6.3"
"122","SRR4787796","Travel",1,0,1,0,"3.6.1.1"
"123","SRR3530410","pMSM",1,0,0,1,"3.7.18"
"124","SRR3531848","non-pMSM",0,0,0,0,"3.7.30.4"
"125","SRR3531885","Travel",1,0,1,0,"3.6.1.1"
"126","SRR5005522","pMSM",1,0,0,1,"3.7.25"
"127","SRR4787341","Travel",1,0,1,0,"3.6.1.1"
"128","SRR3530405","non-pMSM",0,0,0,0,"3.7.18"
"129","SRR3530559","non-pMSM",0,0,0,0,"3.4.1"
"130","SRR3530646","Travel",1,1,1,0,"3.6.3"
"131","SRR3531855","Travel",1,1,0,0,"3.7.18"
"132","SRR4788167","non-pMSM",0,0,0,0,"3.7.30.4"
"133","SRR4897626","Travel",0,0,0,0,"3.7.21"
"134","SRR4787081","non-pMSM",0,0,0,0,"3.6.4"
"135","SRR3531877","Travel",0,0,0,0,"3.6.1"
"136","SRR4786193","Travel",1,0,1,0,"3.6.1.1"
"137","SRR3531856","non-pMSM",0,0,0,0,"3.7.30.4"
"138","SRR4788154","Travel",0,0,0,0,"3.7.3"
"139","SRR4787736","Travel",1,0,1,0,"3.6.1.1"
"140","SRR3531880","non-pMSM",0,0,0,0,"3.7.18"
"141","SRR3531890","non-pMSM",1,0,1,0,"3.6.1.1"
"142","SRR3530607","Travel",0,0,0,0,"3.7.3"
"143","SRR3530315","pMSM",0,0,0,0,"3.7.16"
"144","SRR4786540","Travel",0,0,0,0,"2.4.2"
"145","SRR4788282","non-pMSM",0,0,0,0,"3.6.3"
"146","SRR3530562","Travel",0,0,0,0,"3.7.18"
"147","SRR3530634","non-pMSM",1,1,1,0,"3.6.2"
"148","SRR3530642","Travel",0,0,0,0,"3.7.11"
"149","SRR3531508","non-pMSM",1,0,1,0,"3.6.1.1"
"150","SRR3530859","non-pMSM",1,0,1,0,"3.6.1.1"
"151","SRR3530399","Travel",0,0,0,0,"3.7"
"152","SRR3530575","Travel",1,0,1,0,"3.6.1.1"
"153","SRR3531905","Travel",1,0,1,1,"3.6.1.1.3"
"154","SRR4787810","Travel",1,1,1,0,"3.6.3"
"155","SRR3530421","non-pMSM",0,0,0,0,"2.11.5"
"156","SRR4787230","non-pMSM",1,0,1,0,"3.6.1.1"
"157","SRR5017524","Travel",1,1,1,1,"3.6.1.1"
"158","SRR4897055","Travel",0,0,0,0,"3.6.3"
"159","SRR5006243","non-pMSM",0,0,0,0,"3.7.3"
"160","SRR5024223","Travel",0,0,0,0,"2.7.1"
"161","SRR4897399","non-pMSM",0,0,0,0,"3.7"
"162","SRR3530632","non-pMSM",0,0,0,0,"3.6.3"
"163","SRR3530395","Travel",1,0,1,0,"3.6.1.1"
"164","SRR4897747","pMSM",0,0,0,0,"3.7.29.1.2"
"165","SRR5006415","Travel",0,0,0,0,"3.7.9"
"166","SRR4788245","Travel",1,1,1,1,"3.6.3"
"167","SRR5006338","Travel",1,1,1,0,"3.6.3"
"168","SRR4787398","Travel",1,1,1,0,"3.6.3"
"169","SRR4897449","Travel",1,0,1,0,"3.6.1.1"
"170","SRR4897306","pMSM",1,0,1,0,"3.6.1.1"
"171","SRR5017302","non-pMSM",0,0,0,0,"3.7.18"
"172","SRR4897756","Travel",0,0,0,0,"3.6.3"
"173","SRR5018377","Travel",0,0,0,0,"3.6.3"
"174","SRR4787758","pMSM",0,0,0,0,"3.6.1"
"175","SRR4787156","non-pMSM",0,0,0,0,"3.4.1"
"176","SRR4787385","pMSM",1,0,1,0,"3.7.18"
"177","SRR5024291","non-pMSM",0,0,0,0,"3.7.16"
"178","SRR4897238","pMSM",0,0,0,0,"3.7.29.1.2"
"179","SRR4897294","non-pMSM",1,1,1,0,"3.6.3"
"180","SRR5017861","Travel",0,0,0,0,"3.7.12"
"181","SRR4897759","Travel",1,1,1,0,"3.6.3"
"182","SRR4788150","pMSM",1,1,1,0,"3.7"
"183","SRR5023834","Travel",1,0,1,0,"3.6.1.1"
"184","SRR4787871","non-pMSM",1,0,1,0,"3.6.1.1"
"185","SRR4897684","Travel",1,1,1,0,"3.6.3"
"186","SRR4787270","Travel",1,1,1,0,"3.6.3"
"187","SRR4787192","Travel",1,1,1,0,"3.6.3"
"188","SRR5017537","non-pMSM",0,0,0,0,"3.7.16"
"189","SRR5006385","pMSM",1,0,0,1,"3.7.25"
"190","SRR5023897","non-pMSM",0,0,0,0,"3.6.3"
"191","SRR5005282","pMSM",1,0,1,1,"3.6.1.1.2"
"192","SRR7251031","pMSM",1,0,1,1,"3.6.1.1.2"
"193","SRR4897770","pMSM",1,0,1,1,"3.6.1.1.2"
"194","SRR4897353","Travel",0,0,0,0,"3.7.16"
"195","SRR5005272","Travel",1,0,1,0,"3.6.1.1"
"196","SRR4897357","pMSM",1,0,1,1,"3.6.1.1.2"
"197","SRR4897267","Travel",1,0,1,0,"3.6.1.1"
"198","SRR4897113","Travel",0,0,0,0,"3.4.1"
"199","SRR7187844","Travel",0,0,0,0,"3.7.18"
"200","SRR4897544","Travel",0,0,0,0,"3.6.3"
"201","SRR5023928","non-pMSM",1,0,1,0,"3.6.1.1"
"202","SRR7249724","Travel",1,0,1,0,"3.6.1.1"
"203","SRR7186960","Travel",1,0,1,0,"3.6.1.1.1"
"204","SRR5024244","pMSM",0,0,0,0,"3.7.29.1.2"
"205","SRR4788271","non-pMSM",1,0,1,0,"3.6.1.1"
"206","SRR7187049","non-pMSM",0,0,0,0,"3.7.30.4"
"207","SRR4897529","pMSM",0,0,0,0,"3.7.4"
"208","SRR7266825","Travel",0,0,0,0,"3.6.1"
"209","SRR7291511","pMSM",1,0,0,1,"3.7.25"
"210","SRR7251469","pMSM",0,0,0,0,"3.7.29.1.2"
"211","SRR4897798","pMSM",0,0,0,0,"3.7.18"
"212","SRR4787217","Travel",1,0,1,0,"3.6.1.1.1"
"213","SRR4897817","non-pMSM",1,0,1,0,"3.6.1.1.1"
"214","SRR4897766","Travel",0,0,0,0,"3.4.1"
"215","SRR4787194","pMSM",1,0,1,0,"3.6.1.1"
"216","SRR4786539","pMSM",1,0,0,1,"3.7.25"
"217","SRR4787742","Travel",0,0,0,0,"3.7.7"
"218","SRR4788283","non-pMSM",0,0,0,0,"3.6.3"
"219","SRR5006096","non-pMSM",0,0,0,0,"3.7.17"
"220","SRR7187862","pMSM",0,0,0,0,"3.6.4"
"221","SRR5005331","non-pMSM",1,1,1,0,"3.6.1.1"
"222","SRR6467514","non-pMSM",0,0,0,0,"3.7.29.1.2"
"223","SRR4788350","Travel",0,0,0,0,"3.7.18"
"224","SRR5005563","pMSM",1,0,1,1,"3.6.1.1.2"
"225","SRR5006420","non-pMSM",0,0,0,0,"3.6.3"
"226","SRR5024070","Travel",1,0,1,0,"3.6.1.1"
"227","SRR5024231","pMSM",1,0,1,1,"3.6.1.1.2"
"228","SRR4897131","pMSM",1,0,1,1,"3.6.1.1.2"
"229","SRR7221208","pMSM",0,0,0,0,"3.7.29.1.2"
"230","SRR4787272","non-pMSM",1,0,1,0,"3.6.1.1"
"231","SRR4788374","Travel",0,0,0,0,"3.6.1"
"232","SRR4897492","pMSM",0,0,0,0,"2.11.4"
"233","SRR5006384","pMSM",1,0,1,0,"3.6.1.1"
"234","SRR5006371","pMSM",1,0,0,1,"3.7.25"
"235","SRR7358307","Travel",1,0,1,0,"3.6.1.1"
"236","SRR7244289","non-pMSM",0,0,0,0,"3.7.29.1.4"
"237","SRR7265859","Travel",1,1,1,0,"3.7.25"
"238","SRR3742259","non-pMSM",0,0,0,0,"3.7.3"
"239","SRR3742249","non-pMSM",0,0,0,0,"3.7.10"
"240","SRR3742265","Travel",0,0,0,0,"3.6.4"
"241","SRR3742271","pMSM",1,0,1,0,"3.6.1.1"
"242","SRR3742251","pMSM",0,0,0,0,"3.7.29.1.2"
"243","SRR3742211","Travel",0,0,0,0,"3.7.18"
"244","SRR3742261","pMSM",1,0,1,1,"3.6.1.1.2"
"245","SRR4786997","non-pMSM",1,0,1,0,"3.6.1.1"
"246","SRR4787768","Travel",0,0,0,0,"1.5"
"247","SRR4897235","Travel",0,0,0,0,"3.6.4"
"248","SRR4787874","non-pMSM",1,1,1,0,"3.6.3"
"249","SRR4897715","non-pMSM",1,0,1,0,"3.6.1.1.1"
"250","SRR5024527","non-pMSM",1,0,1,0,"3.7.18"
"251","SRR7209059","pMSM",0,0,0,0,"3.7.29.1.2"
"252","SRR5005421","non-pMSM",0,0,0,0,"3.7"
"253","SRR4786271","pMSM",1,0,1,0,"3.6.1.1.3.1"
"254","SRR4787266","pMSM",0,0,0,0,"3.7.29.1.2"
"255","SRR4788369","Travel",0,0,0,0,"3.6.1"
"256","SRR5024080","pMSM",1,0,1,1,"3.6.1.1.2"
"257","SRR5005435","Travel",0,0,0,0,"3.6.1"
"258","SRR7186963","Travel",1,1,0,0,"3.7.25"
"259","SRR7204418","non-pMSM",0,0,0,0,"3.7.29.1.4"
"260","SRR5006235","Travel",1,1,1,0,"3.6.1.1.1"
"261","SRR4897579","Travel",0,0,0,0,"3.6.4"
"262","SRR4897713","non-pMSM",0,0,0,0,"3.7"
"263","SRR4787764","non-pMSM",1,0,1,0,"3.6.1.1"
"264","SRR4788247","Travel",0,0,0,0,"3.6.3"
"265","SRR5005344","non-pMSM",0,0,0,0,"3.7.30.4"
"266","SRR4786133","non-pMSM",0,0,0,0,"3.6.2"
"267","SRR4897047","non-pMSM",0,0,0,0,"3.6.3"
"268","SRR5005508","non-pMSM",0,0,0,0,"3.7.30.4"
"269","SRR4788102","pMSM",1,0,1,0,"3.6.1.1"
"270","SRR4788223","pMSM",1,0,0,1,"3.7.25"
"271","SRR7286453","Travel",0,0,0,0,"3.7.25"
"272","SRR4897074","Travel",1,1,1,0,"3.7"
"273","SRR4897118","pMSM",1,0,1,0,"3.6.1.1.2"
"274","SRR5006358","pMSM",1,0,1,1,"3.6.1.1.2"
"275","SRR4787778","Travel",1,1,0,0,"3.7.25"
"276","SRR4897525","Travel",1,1,1,0,"3.6.3"
"277","SRR4897664","non-pMSM",1,0,1,0,"3.6.1.1"
"278","SRR5005517","non-pMSM",1,1,1,0,"3.6.1.1"
"279","SRR4787193","Travel",0,0,0,0,"3.6.3"
"280","SRR4786926","Travel",0,0,0,0,"3.6.2"
"281","SRR4788088","pMSM",1,0,0,1,"3.7.25"
"282","SRR7274804","Travel",1,0,1,0,"3.6.1.1"
"283","SRR4788073","pMSM",0,0,0,0,"3.7.25"
"284","SRR4897167","Travel",1,0,1,0,"3.6.1.1"
"285","SRR4897185","Travel",1,1,1,0,"3.6.1.1.1"
"286","SRR6467515","non-pMSM",1,0,1,1,"3.6.1.1.2"
"287","SRR4897545","Travel",0,0,0,0,"3.6.2"
"288","SRR4787413","pMSM",0,0,0,0,"3.7.21"
"289","SRR5005423","non-pMSM",0,0,0,0,"3.7.30.4.1"
"290","SRR4787316","Travel",0,0,0,0,"3.7.7"
"291","SRR4897787","Travel",0,0,0,0,"3.7.18"
"292","SRR4788157","pMSM",0,0,0,0,"2.10.1"
"293","SRR4897321","non-pMSM",1,0,1,0,"3.6.1.1"
"294","SRR4787852","pMSM",1,0,1,1,"3.6.1.1.2"
"295","SRR4788253","non-pMSM",1,0,1,0,"3.6.1.1"
"296","SRR4897181","pMSM",0,0,0,0,"3.4.1"
"297","SRR4897179","pMSM",1,0,1,1,"3.6.1.1.2"
"298","SRR7208624","pMSM",0,0,0,0,"3.7.25"
"299","SRR7367361","Travel",1,0,1,0,"3.6.1.1"
"300","SRR4788242","Travel",1,1,1,0,"3.6.1.1"
"301","SRR4897735","Travel",1,1,0,0,"3.7.25"
"302","SRR5006059","non-pMSM",0,0,0,0,"3.7.29.1.4.1"
"303","SRR4788227","non-pMSM",1,0,1,0,"3.6.1.1"
"304","SRR7191648","non-pMSM",0,0,0,0,"3.7.30.4.1"
"305","SRR4787933","Travel",1,0,1,0,"3.7.18"
"306","SRR5023953","pMSM",0,0,0,0,"3.7.29.1.2"
"307","SRR4897702","non-pMSM",1,0,1,0,"3.6.1.1"
"308","SRR7186953","pMSM",0,0,0,0,NA
"309","SRR4787714","non-pMSM",1,0,1,0,"3.6.1.1"
"310","SRR7286677","non-pMSM",0,0,0,0,"3.7.30.4.1"
"311","SRR4787380","pMSM",0,0,0,0,"3.7.4"
"312","SRR4897194","Travel",1,0,1,0,"3.6.1.1"
"313","SRR7204243","Travel",0,0,0,0,"2.5.1"
"314","SRR4786031","Travel",1,0,1,0,"3.6.1.1"
"315","SRR5006329","pMSM",0,0,0,0,"3.7.30.4.1"
"316","SRR7291558","non-pMSM",1,1,0,0,"3.7.25"
"317","SRR5005538","Travel",1,0,1,1,"3.6.1.1"
"318","SRR4897613","pMSM",1,1,0,0,"3.7.25"
"319","SRR4897738","non-pMSM",1,1,1,0,"3.6.3"
"320","SRR7215957","non-pMSM",1,1,0,0,"3.7.25"
"321","SRR5006242","non-pMSM",1,1,0,0,"3.7.25"
"322","SRR4787080","non-pMSM",1,1,0,0,"3.7.25"
"323","SRR7291832","non-pMSM",1,1,0,0,"3.7.25"
"324","SRR4787741","non-pMSM",1,1,0,0,"3.7.25"
"325","SRR4897241","Travel",0,0,0,0,"3.6.3"
"326","SRR4787372","non-pMSM",1,1,0,0,"3.7.25"
"327","SRR4897826","pMSM",1,0,1,0,"3.6.1.1"
"328","SRR7250985","pMSM",0,0,0,0,"3.7.29.1.2"
"329","SRR5005495","Travel",0,0,0,0,"3.7.18"
"330","SRR5024446","non-pMSM",1,1,0,0,"3.7.25"
"331","SRR7251047","non-pMSM",1,1,0,0,"3.7.25"
"332","SRR7283769","non-pMSM",1,1,0,0,"3.7.25"
"333","SRR4787360","non-pMSM",1,0,1,0,"3.6.1.1"
"334","SRR4897651","pMSM",1,0,1,0,"3.6.1.1"
"335","SRR4788159","non-pMSM",0,0,0,0,"3.7.25"
"336","SRR5024495","pMSM",0,0,0,0,NA
"337","SRR7244427","non-pMSM",0,0,0,0,NA
"338","SRR5005556","pMSM",1,1,0,0,"3.7.25"
"339","SRR5024286","Travel",0,0,0,0,"3.6.2"
"340","SRR4897305","Travel",0,0,0,0,"3.6.2"
"341","SRR4786784","Travel",0,0,0,0,"3.6.2"
"342","SRR4897831","Travel",0,0,0,0,"3.6.2"
"343","SRR7184370","Travel",0,0,0,0,"3.4.1"
"344","SRR4897527","pMSM",0,0,0,0,"3.4.1"
"345","SRR5024409","non-pMSM",1,0,1,0,"3.6.1.1"
"346","SRR7257086","Travel",1,0,1,1,"3.6.1.1"
"347","SRR4897640","Travel",0,0,0,0,"3.7.18"
"348","SRR4787433","Travel",1,0,1,0,"3.6.1.1"
"349","SRR5005348","pMSM",1,0,1,1,"3.6.1.1.2"
"350","SRR7266827","non-pMSM",0,0,0,0,"3.7"
"351","SRR7286594","non-pMSM",1,0,1,0,"3.6.1.1"
"352","SRR7221267","non-pMSM",1,1,1,0,"3.6.3"
"353","SRR5006429","non-pMSM",1,1,0,0,"3.7.25"
"354","SRR7291011","Travel",0,0,0,0,"3.6.2"
"355","SRR4897615","Travel",1,0,1,0,"3.6.1.1"
"356","SRR4787387","non-pMSM",0,0,0,0,"3.6.4"
"357","SRR4787267","pMSM",1,0,0,1,"3.7.29.1.2.1"
"358","SRR4897456","non-pMSM",1,0,1,0,"3.6.1.1"
"359","SRR5024477","pMSM",0,0,0,0,"3.7.4"
"360","SRR4897660","Travel",1,1,0,0,"3.6.4"
"361","SRR7274839","pMSM",1,0,0,1,"3.7.29.1.2"
"362","SRR5024325","non-pMSM",0,0,0,0,"3.7"
"363","SRR5006346","pMSM",0,0,0,0,"3.7.25"
"364","SRR4788100","Travel",0,0,0,0,"3.7.10"
"365","SRR4897774","non-pMSM",0,0,0,0,"3.7.25"
"366","SRR5006352","pMSM",0,0,0,0,"3.7.18"
"367","SRR4897050","non-pMSM",1,1,0,0,"3.7.25"
"368","SRR5024162","non-pMSM",0,0,0,0,"3.7.30.4.1"
"369","SRR7285450","Travel",0,0,0,0,"3.6.3"
"370","SRR4897483","non-pMSM",1,0,1,0,"3.6.1.1"
"371","SRR7186893","pMSM",1,0,1,1,"3.6.1.1.2"
"372","SRR5005606","pMSM",0,0,0,0,"3.7.30.1"
"373","SRR4788308","Travel",0,0,0,0,"3.7.8"
"374","SRR7204421","Travel",1,0,1,0,"3.6.1.1"
"375","SRR4897397","non-pMSM",0,0,0,0,"3.7.7"
"376","SRR4897262","pMSM",0,0,0,0,"3.7.30.4.1"
"377","SRR5005501","pMSM",0,0,0,0,"3.7.29.1.2"
"378","SRR4787826","Travel",1,1,1,0,"3.6.3"
"379","SRR7230331","non-pMSM",1,0,1,0,"3.6.1.1"
"380","SRR5005288","non-pMSM",0,0,0,0,"3.7.30.4.1"
"381","SRR4787725","pMSM",1,0,0,1,"3.7.25"
"382","SRR5006355","pMSM",1,0,1,0,"3.6.1.1"
"383","SRR4787175","non-pMSM",1,1,0,0,"3.7.29.1"
"384","SRR4787841","non-pMSM",0,0,0,0,"3.7.30.4.1"
"385","SRR5006400","non-pMSM",1,1,1,0,"3.6.2"
"386","SRR4897090","non-pMSM",0,0,0,0,"3.6.1"
"387","SRR5023934","non-pMSM",0,0,0,0,"3.7.25"
"388","SRR5024067","pMSM",0,0,0,0,"3.7.29.1.2.1"
"389","SRR4787283","Travel",0,0,0,0,"3.6.2"
"390","SRR7172426","pMSM",0,0,0,0,"3.7.30.4.1"
"391","SRR4786652","Travel",0,0,0,0,"2.10.1"
"392","SRR4787761","pMSM",0,0,0,0,"3.7.4"
"393","SRR4788085","non-pMSM",0,0,0,0,"3.7.30.4.1"
"394","SRR4788074","pMSM",1,0,1,1,"3.6.1.1.2"
"395","SRR5006081","Travel",1,0,1,0,"3.6.1.1"
"396","SRR5005407","pMSM",1,0,0,1,"3.7.29.1.2.1"
"397","SRR4788138","pMSM",0,0,0,0,"3.7.29.1.2"
"398","SRR4897447","non-pMSM",0,0,0,0,"3.7.30.4.1"
"399","SRR4787356","Travel",1,1,1,0,"3.7"
"400","SRR4787199","Travel",0,0,0,0,"3.6.2"
"401","SRR5024153","Travel",0,0,0,0,"3.6.2"
"402","SRR7221259","pMSM",1,0,1,0,"3.6.1"
"403","SRR4897438","Travel",0,0,0,0,"3.6.2"
"404","SRR4788326","pMSM",1,0,0,1,"3.7.25"
"405","SRR7249737","non-pMSM",0,0,0,0,"3.7.18"
"406","SRR4787187","non-pMSM",1,0,1,1,"3.6.1.1"
"407","SRR4787302","non-pMSM",0,0,0,0,"3.7.16"
"408","SRR4787342","Travel",1,0,1,0,"3.6.1.1"
"409","SRR4786908","Travel",0,0,0,0,"2.11.4"
"410","SRR4788208","Travel",1,1,0,0,"3.6.2"
"411","SRR4787328","non-pMSM",0,0,0,0,"3.6.1"
"412","SRR4787170","Travel",0,0,0,0,"Uncalled"
"413","SRR5023926","pMSM",1,1,0,0,"3.6.4"
"414","SRR5023935","non-pMSM",0,0,0,0,"3.6.3"
"415","SRR5006365","non-pMSM",1,1,0,0,"3.6.4"
"416","SRR5005438","non-pMSM",1,1,0,0,"3.6.4"
"417","SRR7223075","non-pMSM",1,1,0,0,"3.6.3"
"418","SRR4788366","non-pMSM",1,1,0,0,"3.7.25"
"419","SRR4897609","Travel",1,0,1,0,"3.6.1.1"
"420","SRR5024486","non-pMSM",0,0,0,0,"3.7.25"
"421","SRR4787828","Travel",0,0,0,0,"3.7.25"
"422","SRR4788177","non-pMSM",1,1,0,0,"3.7.25"
"423","SRR4788343","non-pMSM",0,0,0,0,"3.6.2"
"424","SRR4897508","Travel",1,1,1,0,"3.7"
"425","SRR5005355","non-pMSM",0,0,0,0,"3.7.30.4.1"
"426","SRR5024178","non-pMSM",0,0,0,0,"3.7.30.4.1"
"427","SRR7184251","non-pMSM",1,0,1,0,"3.6.1.1"
"428","SRR4786404","Travel",0,0,0,0,"3.7.21"
"429","SRR4897056","Travel",0,0,0,0,"3.7.18"
